Loyalty Number,Segment_Name,Risk_Level,Churn_Prob,CLV,Revenue_At_Risk,Recommended_Action,Months_Since_Last_Active,Flights_6M,Points_6M
100018,Champions,Low,0.022589022,7919.2,178.88698534816504,Routine: Standard newsletter + rewards update,2.033333333333333,7.0,8111.0
100102,Champions,Low,0.005681092,2887.74,16.405516379736362,Routine: Standard newsletter + rewards update,0.0,10.0,13710.0
100140,Champions,Low,0.008925541,2838.07,25.33131100879051,Routine: Standard newsletter + rewards update,0.0,15.0,21587.0
100214,Champions,Low,0.011503376,4170.57,47.9756351224333,Routine: Standard newsletter + rewards update,0.0,4.0,8733.0
100272,Champions,Low,0.011468073,6622.05,75.94215514836833,Routine: Standard newsletter + rewards update,0.0,7.0,8846.0
100301,Champions,Low,0.1539754,48356.96,7445.782130560875,Routine: Standard newsletter + rewards update,4.0,4.0,6434.0
100364,Champions,Low,0.011383599,5143.88,58.555865528509024,Routine: Standard newsletter + rewards update,0.0,2.0,3502.0
100380,Champions,Low,0.009445302,2465.62,23.288525981754063,Routine: Standard newsletter + rewards update,0.0,4.0,6181.0
100428,Champions,Low,0.016796472,5845.43,98.18259869871662,Routine: Standard newsletter + rewards update,1.0333333333333334,9.0,17469.0
100504,At-Risk Loyalists,Critical,0.64645576,8807.61,5693.730258350372,Targeted Retention: Double points campaign for next 3 flights,4.0,9.0,11769.0
100550,Champions,Low,0.0060523455,7861.8,47.58232987644151,Routine: Standard newsletter + rewards update,0.0,11.0,15867.0
100585,Champions,Low,0.0108529935,7334.33,79.59943556719459,Routine: Standard newsletter + rewards update,1.0333333333333334,11.0,19510.0
100590,Dormant Members,Low,0.0067934673,34090.04,231.58957294858996,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,4.0,9756.0
100642,Champions,Low,0.004491603,4892.63,21.975751595441253,Routine: Standard newsletter + rewards update,0.0,2.0,3358.0
100644,Champions,Low,0.017815424,4458.11,79.42312046537175,Routine: Standard newsletter + rewards update,1.0333333333333334,5.0,5381.0
100646,Champions,Low,0.0067107505,2471.53,16.585821224055255,Routine: Standard newsletter + rewards update,0.0,5.0,9932.0
100727,Champions,Low,0.007624139,3873.65,29.53324633934535,Routine: Standard newsletter + rewards update,0.0,14.0,25479.0
100737,Champions,Low,0.00877598,12786.67,112.2155628947448,Routine: Standard newsletter + rewards update,0.0,10.0,13633.0
100753,Champions,Low,0.00516142,2534.31,13.080638260650447,Routine: Standard newsletter + rewards update,0.0,7.0,8236.0
100816,Champions,Low,0.05016566,6273.91,314.7348401927203,Routine: Standard newsletter + rewards update,3.066666666666667,6.0,7986.0
100853,Champions,Low,0.010798179,10153.89,109.643517838642,Routine: Standard newsletter + rewards update,1.0333333333333334,8.0,13005.0
100883,Champions,Low,0.0061965277,3561.04,22.066083149835467,Routine: Standard newsletter + rewards update,0.0,5.0,8119.0
100890,Champions,Low,0.020998105,8007.4,168.1402292340994,Routine: Standard newsletter + rewards update,2.033333333333333,4.0,4707.0
101018,Champions,Low,0.0108988825,4392.98,47.87857294667511,Routine: Standard newsletter + rewards update,0.0,12.0,25070.0
101148,Champions,Low,0.008522122,4770.55,40.65520990402438,Routine: Standard newsletter + rewards update,0.0,4.0,8635.0
101356,Dormant Members,Critical,0.9997799,7482.64,7480.99292163372,Re-Engagement: Points expiry reminder + transfer partner offer,0.0,0.0,0.0
101363,Champions,Low,0.0080209235,12898.59,103.45860329884104,Routine: Standard newsletter + rewards update,0.0,4.0,7168.0
101487,Champions,Low,0.014294795,14024.36,200.4753478493914,Routine: Standard newsletter + rewards update,1.0333333333333334,8.0,10343.0
